! font		number	metricfile	vectorfile	bitmapfile	name
rm		1	pstr.fmt	texcmr.fve	tr.fmt		% Times
rmb		3	pstb.fmt	texcmb.fve	tb.fmt		- B(rm)
rmi		2	psti.fmt	texcmmi.fve	ti.fmt		- I(rm)
rmbi		4	pstbi.fmt	texcmb.fve	tbi.fmt		- BI(rm)
ss		5	psh.fmt		texcmitt.fve	h.fmt		% Sans Serif
ssb		7	pshb.fmt	texcmitt.fve	hb.fmt		- B(ss)
ssi		6	psho.fmt	texcmitt.fve	hi.fmt		- I(ss)
ssbi		8	pshbo.fmt	texcmitt.fve	hbi.fmt		- BI(ss)
tt		82	psc.fmt		texcmr.fve	tr.fmt		% Typewriter
ttb		84	pscb.fmt	texcmb.fve	tb.fmt		- B(tt)
tti		83	psco.fmt	texcmmi.fve	ti.fmt		- I(tt)
ttbi		85	pscbo.fmt	texcmb.fve	tbi.fmt		- BI(tt)
pstr		59	pstr.fmt	pstr.fve	pstr.fmt	% PS Times
pstb		56	pstb.fmt	pstb.fve	pstb.fmt	- B(pstr)
psti		58	psti.fmt	psti.fve	psti.fmt	- I(pstr)
pstbi		57	pstbi.fmt	pstbi.fve	pstbi.fmt	- BI(pstr)
psh		35	psh.fmt		psh.fve		psh.fmt		% PS Helvetica
pshb		36	pshb.fmt	pshb.fve	pshb.fmt	- B(psh)
psho		42	psho.fmt	psho.fve	psho.fmt	- I(psh)
pshbo		37	pshbo.fmt	pshbo.fve	pshbo.fmt	- BI(psh)
pshc		38	pshc.fmt	pshc.fve	pshc.fmt	% PS Helvetica Condensed
pshcb		39	pshcb.fmt	pshcb.fve	pshcb.fmt	- B(pshc)
pshcdo		41	pshcdo.fmt	pshcdo.fve	pshcdo.fmt	- I(pshc)
pshcbo		40	pshcbo.fmt	pshcbo.fve	pshcbo.fmt	- BI(pshc)
pshn		43	pshn.fmt	pshn.fve	pshn.fmt	% PS Helvetica Narrow
pshnb		44	pshnb.fmt	pshnb.fve	pshnb.fmt	- B(pshn)
pshno		46	pshno.fmt	pshno.fve	pshno.fmt	- I(pshn)
pshnbo		45	pshnbo.fmt	pshnbo.fve	pshnbo.fmt	- BI(pshn)
psncsr		50	psncsr.fmt	psncsr.fve	psncsr.fmt	% PS New Century Schoolbook
psncsb		47	psncsb.fmt	psncsb.fve	psncsb.fmt	- B(psncsr)
psncsi		49	psncsi.fmt	psncsi.fve	psncsi.fmt	- I(psncsr)
psncsbi		48	psncsbi.fmt	psncsbi.fve	psncsbi.fmt	- BI(psncsr)
pspr		54	pspr.fmt	pspr.fve	pspr.fmt	% PS Palatino
pspb		51	pspb.fmt	pspb.fve	pspb.fmt	- B(pspr)
pspi		53	pspi.fmt	pspi.fve	pspi.fmt	- I(pspr)
pspbi		52	pspbi.fmt	pspbi.fve	pspbi.fmt	- BI(pspr)
