PSHC Helvetica-Condensed
PSHCB Helvetica-Condensed-Bold
PSHCBO Helvetica-Condensed-BoldObl
PSHCDO Helvetica-Condensed-Oblique
PSHN Helvetica-Narrow
PSHNB Helvetica-Narrow-Bold
PSHNBO Helvetica-Narrow-BoldOblique
PSHNO Helvetica-Narrow-Oblique
ARIAL8 ArialCyrMT
ARIAL8B ArialCyrMT-Bold
ARIAL8I ArialCyrMT-Italic
ARIAL8BI ArialCyrMT-BoldItalic
COUR8 ERKurierKOI8RRegular
COUR8B ERKurierKOI8RBold
COUR8I ERKurierKOI8RItalic
COUR8BI ERKurierKOI8RBoldItalic
TIMES8 TimesNRCyrMT
TIMES8B TimesNRCyrMT-Bold
TIMES8I TimesNRCyrMT-Inclined
TIMES8BI TimesNRCyrMT-BoldInclined
